date,state,vaccine_alloc_1_pfizer,vaccine_alloc_2_pfizer,vaccine_alloc_1_janssen,vaccine_alloc_1_moderna,vaccine_alloc_2_moderna,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
2020-05-01,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46971.0,46971.0,0.0,1208.0,-609.0,2354.0,1527.0,75.33333333333334,62.0,-43.0,05/02/2020 03:47:19 PM,Agree,Not agree
2020-05-01,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29229.0,51513.0,0.0,1142.0,0.0,816.0,1992.0,37.66666666666667,34.0,0.0,05/02/2020 03:47:19 PM,Not agree,Not agree
2020-05-01,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56055.0,56055.0,0.0,3137.0,0.0,2457.0,2457.0,0.0,102.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.0,28967.5,77.5,557.0,0.0,73.0,1260.0,0.0,3.0,0.0,05/02/2020 03:47:19 PM,Not agree,Not agree
2020-05-01,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.0,1880.0,155.0,20.0,0.0,63.0,63.0,0.0,0.0,-17.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16901.0,16109.0,792.0,0.0,0.0,581.0,572.0,9.0,0.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121205.0,14000.0,396.0,2552.0,14.0,7538.0,7538.0,0.0,310.0,0.0,02/19/2021 01:38:31 PM,Not agree,Agree
2020-05-01,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11891.0,11891.0,0.0,1156.0,0.0,204.0,204.0,0.0,5.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.0,7962.0,0.0,314.0,0.0,330.0,330.0,0.0,10.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42356.0,42356.0,0.0,977.0,0.0,3866.0,3866.0,0.0,77.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
